satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
0.46,0.55,2,145,3,0,1,0,technical,low
0.43,0.57,2,159,3,1,1,0,technical,low
0.89,0.88,5,228,5,1,1,0,support,low
0.09,0.81,6,257,4,0,1,0,support,low
0.40,0.48,2,155,3,0,1,0,support,low
0.76,0.83,6,293,6,0,1,0,support,low
0.40,0.57,2,151,3,0,1,0,support,low
0.37,0.48,2,160,3,0,1,0,support,low
0.37,0.53,2,143,3,0,1,0,support,low
0.11,0.96,6,280,4,0,1,0,support,low
0.37,0.52,2,158,3,0,1,0,support,low
